Longitude,Latitude
103.76781,1.39
103.95999,1.36
103.91565,1.33
103.80694,1.3
103.9549,1.37
103.80393,1.44
103.84172,1.42
103.90272,1.38
103.8255,1.25
103.79871,1.45
103.84878,1.34
103.83015,1.43
103.81539,1.45
103.86178,1.31
103.85744,1.36
103.70697,1.34
103.83158,1.43
103.84138,1.37
103.95408,1.36
103.95188,1.34
103.84126,1.29
103.77518,1.44
103.90086,1.39
103.91137,1.4
103.76779,1.3
103.71664,1.35
103.77531,1.37
103.88584,1.38
103.76085,1.39
103.84799,1.42
103.86185,1.29
103.9549,1.35
103.79135,1.43
103.89178,1.4
103.87465,1.39
103.87529,1.35
103.85235,1.37
103.89811,1.38
103.90406,1.4
103.95382,1.35
103.93607,1.33
103.8493,1.37
103.92668,1.33
103.70238,1.34
103.75635,1.35
103.84352,1.38
103.88626,1.37
103.82779,1.43
103.72468,1.35
103.90676,1.39
103.92733,1.33
103.77661,1.43
103.86046,1.34
103.94417,1.37
103.74088,1.38
103.82735,1.33
103.9359,1.33
103.79954,1.43
103.86318,1.3
103.90854,1.4
103.87207,1.33
103.92255,1.33
103.84666,1.43
103.74923,1.37
103.85537,1.37
103.98848,1.36
103.87633,1.35
103.89764,1.37
103.88893,1.38
103.74002,1.35
103.86002,1.32
103.92568,1.33
103.8542,1.34
103.83572,1.38
103.89769,1.34
103.91092,1.4
103.74848,1.4
103.84709,1.28
103.85013,1.34
103.86047,1.28
103.89462,1.34
103.84842,1.42
103.81878,1.45
103.85216,1.37
103.96453,1.36
103.92337,1.33
103.93596,1.38
103.79724,1.44
103.89049,1.38
103.81911,1.45
103.7719,1.34
103.88821,1.32
103.88475,1.32
103.96721,1.33
103.93793,1.35
103.83532,1.31
103.84585,1.36
103.83036,1.29
103.88857,1.31
103.89605,1.31
103.9125,1.33
103.78078,1.44
103.84753,1.31
103.96794,1.33
103.85573,1.33
103.83771,1.31
103.91159,1.33
103.89253,1.39
103.88564,1.31
103.83904,1.44
103.90507,1.4
103.96776,1.33
103.84235,1.43
103.7686,1.31
103.88472,1.32
103.72488,1.33
103.96768,1.35
103.78423,1.29
103.90249,1.4
103.96227,1.35
103.93841,1.38
103.84997,1.31
103.89994,1.39
103.93773,1.33
103.75075,1.36
103.75956,1.35
103.91171,1.4
103.80059,1.45
103.88591,1.32
103.86428,1.31
103.87644,1.4
103.77778,1.43
103.69259,1.34
103.87702,1.31
103.93872,1.35
103.89021,1.39
103.70352,1.35
103.85779,1.32
103.7964,1.45
103.89159,1.34
103.85663,1.34
103.74825,1.32
103.94072,1.35
103.75115,1.4
103.85513,1.31
103.83201,1.43
103.80549,1.44
